provisional_name	ipd_accession	ipd_name	retirement_date
Mamu-E*02:28:ext01	NHP09570	Mamu-E*02:28:01:01	2026-08-01
Mamu-E*02:02:ext01	NHP00578	Mamu-E*02:02:01:01	2026-08-01
Mamu-E*02:12:ext02	NHP01984	Mamu-E*02:12:01:01	2026-08-01
Mamu-E*02:12:ext04	NHP03583	Mamu-E*02:12:02:01	2026-08-01
Mamu-E*02:01:ext01	NHP02417	Mamu-E*02:01:02:01	2026-08-01
Mamu-E*02:03:ext01	NHP00579	Mamu-E*02:03:01:01	2026-08-01
Mamu-E*02:11:ext01	NHP01630	Mamu-E*02:11:01:01	2026-08-01
Mamu-E*02:04:ext01	NHP00580	Mamu-E*02:04:01:01	2026-08-01
